# Rime user dictionary
#@/db_name	luna_pinyin.userdb.kct
#@/db_type	userdb
#@/rime_version	0.9.7
#@/tick	6507
#@/user_id	39450050-b813-48cb-bd0a-6ded5e51c872
bi gui 	碧軌	c=2 d=1.00032 t=6258
bi ji 	筆記	c=0 d=0.1 t=2148
bi ji ben 	筆記本	c=1 d=1 t=2939
bi jiao 	比較	c=0 d=0.182283 t=5223
bi jiao chou feng 	比較抽風	c=1 d=1 t=5224
bi jiao hao 	比較好	c=1 d=1 t=2270
bi jiao kuai 	比較塊	c=1 d=1 t=5185
bi jing 	畢竟	c=2 d=1.00335 t=2644
bi li 	比例	c=1 d=1 t=860
bi mian 	避免	c=0 d=0.1 t=577
bi mian zhan zheng 	避免戰爭	c=1 d=1 t=578
bi ni 	比你	c=1 d=1 t=2911
bi ran 	必然	c=2 d=1.0942 t=1824
bi ran de 	必然的	c=1 d=1 t=1178
bi ru 	比如	c=3 d=1 t=5812
bi xu 	必須	c=0 d=0.1 t=5434
bi xu si 	必須死	c=1 d=1 t=5435
bi yao xing 	必要性	c=1 d=1 t=215
bi ye 	畢業	c=0 d=0.1 t=644
bi yi bi 	比一比	c=1 d=1 t=2599
bi zhi gui ji 	碧之軌跡	c=19 d=1.68779 t=6274
bian 	變	c=1 d=0.1 t=4295
bian 	邊	c=1 d=1.099 t=4580
bian chang 	變長	c=1 d=1 t=45
bian cheng 	變成	c=3 d=1.98046 t=941
bian chu lai 	變出來	c=0 d=0.1 t=3484
bian da 	變大	c=1 d=1 t=53
bian dang 	便當	c=1 d=1 t=1470
bian fu 	蝙蝠	c=1 d=1 t=2778
bian guo 	變過	c=0 d=0.1 t=4293
bian hua 	變化	c=1 d=0.1 t=6408
bian hua guan xi 	變化關係	c=1 d=1 t=6409
bian huan 	變換	c=3 d=0.1 t=6178
bian le 	變了	c=1 d=1 t=4299
bian ma 	編碼	c=2 d=1.00054 t=2442
bian shang 	邊上	c=1 d=1 t=2794
bian shui jiao 	邊睡覺	c=1 d=1 t=4579
bian tai 	變態	c=0 d=0.1 t=4958
bian tai wang zi 	變態王子	c=3 d=1.99755 t=6154
bian wu 	編舞	c=1 d=1 t=218
bian yi 	編譯	c=2 d=0.100039 t=4328
bian yi yuan li 	編譯原理	c=1 d=1 t=4329
biao 	婊	c=1 d=1 t=4284
biao 	表	c=4 d=1.00429 t=2360
biao ge 	表格	c=1 d=1 t=101
biao ji 	標記	c=0 d=0.1 t=3005
biao mian 	表面	c=0 d=0.1 t=5045
biao ming 	表明	c=1 d=1 t=160
biao qian 	標籤	c=0 d=0.1 t=596
biao qian ye 	標籤頁	c=1 d=1 t=597
biao ti 	標題	c=0 d=0.1 t=318
biao ti jie mian 	標題界面	c=1 d=1 t=319
biao ti lan 	標題欄	c=1 d=1 t=2056
biao yi biao 	婊一婊	c=3 d=1.99014 t=4279
biao zhun 	標準	c=0 d=0.1 t=4509
biao zhun fang 	標準房	c=1 d=1 t=4510
bie 	別	c=2 d=1.00146 t=5959
bie dong dui 	別動隊	c=1 d=1 t=2401
bie guo lai 	別過來	c=1 d=1 t=2814
bie hei 	別黑	c=1 d=1 t=1698
bie huang 	別慌	c=1 d=1 t=4871
bie hui lai 	別回來	c=1 d=1 t=1357
bie niu 	彆扭	c=0 d=0.1 t=2853
bie ren 	別人	c=2 d=1 t=3944
bie tou lan 	別偷懶	c=1 d=1 t=1105
bie xiang 	別想	c=0 d=0.1 t=418
bie yong 	別用	c=1 d=1 t=4797
bie zhe yang 	別這樣	c=2 d=1 t=5497
bin guan 	賓館	c=6 d=5.62086 t=4523
bing 	並	c=1 d=1 t=5085
bing 	餅	c=1 d=1 t=3487
bing du 	病毒	c=1 d=1 t=4605
bing gan 	餅乾	c=1 d=1 t=3830
bing ge 	餅哥	c=2 d=1.00054 t=2810
bing he qi 	冰河期	c=1 d=1 t=3694
bing li 	病例	c=1 d=1 t=5201
bo 	波	c=0 d=0.1 t=6292
bo le 	播了	c=1 d=1 t=2381
bo li 	玻璃	c=2 d=1.03288 t=2924
bo tao 	波濤	c=0 d=0.1 t=2878
bo tao shi zhe 	波濤使者	c=1 d=1 t=2879
bo te 	波特	c=1 d=1 t=3245
bu 	不	c=11 d=0.108302 t=6462
bu 	部	c=2 d=1.00368 t=4752
bu bian 	不變	c=0 d=0.1 t=4302
bu ceng 	不曾	c=1 d=1 t=5450
bu chu lai 	不出來	c=0 d=0.1 t=2745
bu chuan 	不穿	c=0 d=0.1 t=4374
bu cuo 	不錯	c=0 d=0.1 t=3707
bu da 	不打	c=0 d=0.1 t=719
bu da suan zuo 	不打算做	c=1 d=1 t=3938
bu dao di 	不倒地	c=1 d=1 t=3499
bu ding 	不定	c=1 d=1 t=2083
bu ding 	補丁	c=1 d=1 t=4644
bu dui shui 	不兌水	c=1 d=1 t=831
bu duo 	不多	c=1 d=1 t=2648
bu fang guo 	不放過	c=0 d=0.1 t=4860
bu fen 	部分	c=1 d=1 t=3911
bu fu 	不服	c=1 d=1 t=3774
bu fu 	不符	c=1 d=1 t=6443
bu gan 	不敢	c=0 d=0.1 t=3876
bu gan chu men 	不敢出門	c=1 d=1 t=3877
bu gan mao 	不感冒	c=1 d=1 t=4730
bu gei 	不給	c=1 d=1 t=313
bu gou 	不夠	c=1 d=1 t=5636
bu gua 	不掛	c=0 d=0.1 t=2606
bu gua ke 	不掛科	c=1 d=1 t=2607
bu guan 	不管	c=1 d=1 t=5802
bu guan yong 	不管用	c=0 d=0.1 t=4543
bu guo 	不過	c=0 d=0.1 t=5631
bu hai you 	不還有	c=1 d=1 t=5461
bu hao 	不好	c=1 d=1 t=1443
bu hao kan 	不好看	c=1 d=1 t=3428
bu hui 	不會	c=4 d=1.07949 t=5851
bu hui fa sheng 	不會發生	c=1 d=1 t=636
bu hui shu shu 	不會數數	c=1 d=1 t=4269
bu hui si 	不會死	c=1 d=1 t=4968
bu hui xie 	不會寫	c=2 d=1 t=3448
bu hui yong 	不會用	c=1 d=1 t=6440
bu ji 	不計	c=2 d=1.00059 t=5056
bu jia you 	不加油	c=1 d=1 t=1310
bu jiao huo 	不攪和	c=1 d=1 t=4732
bu jiu hao le 	不就好了	c=2 d=1.98511 t=2793
bu jiu shi 	不就是	c=2 d=1.00002 t=4518
bu kai 	不開	c=1 d=1.09501 t=3071
bu ke 	不可	c=3 d=1.0542 t=6097
bu ke ji 	不可積	c=1 d=1 t=2561
bu ke neng 	不可能	c=2 d=1.00028 t=5947
bu ke yue 	不可約	c=1 d=1 t=903
bu la chu lai 	不拉出來	c=1 d=1 t=4276
bu lin 	布林	c=0 d=0.1 t=2167
bu ming bai 	不明白	c=2 d=1.00001 t=4972
bu neng 	不能	c=1 d=1.00518 t=4790
bu neng fu huo 	不能復活	c=1 d=1 t=4199
bu pao 	不跑	c=0 d=0.1 t=4039
bu qi lai 	不起來	c=1 d=1 t=5963
